id,format,path,topic,language_mode,body_word_count,rare_english,rare_arabic,unique_marker,size_bytes,sha256
1,docx,docx/sample-0001-finance-english.docx,finance,english,200,quincunx,الاستعصاء,wathiqrare0001,37479,95452cc2a4bc5f878c871e068d670b60a4b943524ca62ef3e1aff1f91d7b6177
2,docx,docx/sample-0002-human-resources-arabic.docx,human-resources,arabic,200,zeugma,التبويب,wathiqrare0002,37479,4edbc2fd632be285d88585198a7a83a8815e76c9ac6b29d8945aee208fb63cd8
3,docx,docx/sample-0003-general-administration-mixed.docx,general-administration,mixed,200,syzygy,الاستدامة,wathiqrare0003,37497,a204d0bc1f5a9a1722f56dc4764bcf035bd4c9578a4339b85b03833d61dcae9c
4,docx,docx/sample-0004-asset-management-english.docx,asset-management,english,200,susurrus,الاستدلال,wathiqrare0004,37399,1b584e164b34dbf7b8e49927ab089895f3235e3675104b0a235a151e8fac4f12
5,docx,docx/sample-0005-records-management-arabic.docx,records-management,arabic,200,velleity,الاستقراء,wathiqrare0005,37501,ab0900adf37c3cb42abe818de9d1cbc52d753f43ab7569e4c8ca9512b673bb2d
6,docx,docx/sample-0006-project-management-mixed.docx,project-management,mixed,200,anfractuous,الاستدراك,wathiqrare0006,37526,066a21bea893b1ff126f90e55b635ac75f0c9f87b2a6600ae6c0ce640e538bd9
7,docx,docx/sample-0007-information-technology-english.docx,information-technology,english,200,crepuscular,التغاير,wathiqrare0007,37452,258dd5904efa89db4c6b0ba4c7da64a98e9deeb5b83c4986da5f814051d2d652
8,docx,docx/sample-0008-procurement-arabic.docx,procurement,arabic,200,psithurism,التماثل,wathiqrare0008,37437,9a2dda74c4545b994f93200ab602a01c90caf15001179bbe37295569a0854c86
9,docx,docx/sample-0009-finance-mixed.docx,finance,mixed,200,ultracrepidarian,المضاهاة,wathiqrare0009,37590,27817f44bd7bf2f6a86f247b83c6642029687602ea963b771cdd763a7d7911d6
10,docx,docx/sample-0010-human-resources-english.docx,human-resources,english,200,palimpsest,الاستيثاق,wathiqrare0010,37480,76eb1b5a9c7ed6eaba98b7630733e8729f11943c456293bc20cb7c17a6a356a5
11,docx,docx/sample-0011-general-administration-arabic.docx,general-administration,arabic,200,quincunx,الاستعصاء,wathiqrare0011,37451,898e6d62ee6e61992cfdfc42488b2a3f05a0e098aa3cb9564978ed294a7b275b
12,docx,docx/sample-0012-asset-management-mixed.docx,asset-management,mixed,200,zeugma,التبويب,wathiqrare0012,37505,254b83beed944c89d707e8aceff39681e7628bd673ff7f785540bd0c5a9d7d8b
13,docx,docx/sample-0013-records-management-english.docx,records-management,english,200,syzygy,الاستدامة,wathiqrare0013,37456,dc11e1747306c8fa266cf42f6a5b1c497c6f43f99409952221e37aec328b015e
14,docx,docx/sample-0014-project-management-arabic.docx,project-management,arabic,200,susurrus,الاستدلال,wathiqrare0014,37447,e948ad8fffcd94000e7d90e66bee8d6c0593740c121310be6cee9300d0e21898
15,docx,docx/sample-0015-information-technology-mixed.docx,information-technology,mixed,200,velleity,الاستقراء,wathiqrare0015,37555,62f2c2084c0f15a40278bcce98268e50ec9e9e3630a2fdfe3d58a37047d91c91
16,docx,docx/sample-0016-procurement-english.docx,procurement,english,200,anfractuous,الاستدراك,wathiqrare0016,37423,fc12fe9f08b25272d9b377eb3e982665b0a448f46a234c45d9fcfc7612056061
17,docx,docx/sample-0017-finance-arabic.docx,finance,arabic,200,crepuscular,التغاير,wathiqrare0017,37496,b0a5ad9facb15190bfcd0fc6b7ab9289f86a7f4513da8d183a452e0981508d9a
18,docx,docx/sample-0018-human-resources-mixed.docx,human-resources,mixed,200,psithurism,التماثل,wathiqrare0018,37575,7d2e714b02a2327ba226507ae16bc7b586a7c8211c79cbf92da239a265a3f1f6
19,docx,docx/sample-0019-general-administration-english.docx,general-administration,english,200,ultracrepidarian,المضاهاة,wathiqrare0019,37415,2565baa8b80dcee7565a376807d28e70e6a4cf4a4b77c0d1138f6faa140a2030
20,docx,docx/sample-0020-asset-management-arabic.docx,asset-management,arabic,200,palimpsest,الاستيثاق,wathiqrare0020,37435,7874e00801bb2fb2aff97b316882efef6354b1524dd1fdc8c82aeb797887d49f
21,docx,docx/sample-0021-records-management-mixed.docx,records-management,mixed,200,quincunx,الاستعصاء,wathiqrare0021,37570,95a3a1ab7405d9355394c1f26e22e36e7a5daa13a3f3d6b6aced698d7fead756
22,docx,docx/sample-0022-project-management-english.docx,project-management,english,200,zeugma,التبويب,wathiqrare0022,37417,f61a1c80ccb78255c95702e6e907d9646b3265ca3b2c1e108fbb0f4fc9f7e097
23,docx,docx/sample-0023-information-technology-arabic.docx,information-technology,arabic,200,syzygy,الاستدامة,wathiqrare0023,37481,aaf1107382e5b69c20089bf45dce9d49a4a25f618439b0e6e63cbe7a63bff676
24,docx,docx/sample-0024-procurement-mixed.docx,procurement,mixed,200,susurrus,الاستدلال,wathiqrare0024,37485,67bb8f786c73314de3c811059df237614f9ee5690ddd8efc8701a1c7800c3619
25,docx,docx/sample-0025-finance-english.docx,finance,english,200,velleity,الاستقراء,wathiqrare0025,37470,8a0ad351ff5f53b787695c332ff9c477c79477c37ccc34c9a0aa3cb5e027ca1b
26,docx,docx/sample-0026-human-resources-arabic.docx,human-resources,arabic,200,anfractuous,الاستدراك,wathiqrare0026,37488,8121252e507f8d7b356c8f9ce5a0da4cfcc7e73d4aed96960d00b125e749165b
27,docx,docx/sample-0027-general-administration-mixed.docx,general-administration,mixed,200,crepuscular,التغاير,wathiqrare0027,37502,96a3c3be1fb4f2f6bc5e8640014bcee6f1286e8a69c57195473e6967af668b01
28,docx,docx/sample-0028-asset-management-english.docx,asset-management,english,200,psithurism,التماثل,wathiqrare0028,37400,0a028b9a75799246053a8025a92fdb6dd73462739394f4083cb8d9b7dd1fc771
29,docx,docx/sample-0029-records-management-arabic.docx,records-management,arabic,200,ultracrepidarian,المضاهاة,wathiqrare0029,37498,2a34997a7dc89fc7622bf4c224e0bc1c04155f2db4011eedd0d47595017b012c
30,docx,docx/sample-0030-project-management-mixed.docx,project-management,mixed,200,palimpsest,الاستيثاق,wathiqrare0030,37526,b9b6ba44495a207deb6ea10a21c7713786a2537fd50e80226a936947ffc2dd5c
31,docx,docx/sample-0031-information-technology-english.docx,information-technology,english,200,quincunx,الاستعصاء,wathiqrare0031,37453,ed6e768ec7ec3d97145bdc1cee668a388d5760db8f8f4bc854b35c9d77976006
32,docx,docx/sample-0032-procurement-arabic.docx,procurement,arabic,200,zeugma,التبويب,wathiqrare0032,37440,4fa41577539ea8152b9d3537f493638a9993100126794dc87b96e1f5346d0cbc
33,docx,docx/sample-0033-finance-mixed.docx,finance,mixed,200,syzygy,الاستدامة,wathiqrare0033,37587,e64863374909eb452b2d7eb15c7854efb0f415046ac3deaad6eff8e2dca37e1b
34,docx,docx/sample-0034-human-resources-english.docx,human-resources,english,200,susurrus,الاستدلال,wathiqrare0034,37478,e4b62c7b65fbb663d55aafbb50dfcbe26a9dadd13fffe5109491b65b057ae3f2
35,docx,docx/sample-0035-general-administration-arabic.docx,general-administration,arabic,200,velleity,الاستقراء,wathiqrare0035,37453,1152468d080b87c8b2a1bdafe3d5ce5ec6d4625c0b29ffc35e95e26b091134ac
36,docx,docx/sample-0036-asset-management-mixed.docx,asset-management,mixed,200,anfractuous,الاستدراك,wathiqrare0036,37507,347a3c7f5909b6bef7def9eca8cbd72a9b545766fd9412b1d5dc39266733a8b4
37,docx,docx/sample-0037-records-management-english.docx,records-management,english,200,crepuscular,التغاير,wathiqrare0037,37458,9f74ca5f4d33af9f53c3a8418ff8960f64379a84e19de294c27fdfd5ab1510e5
38,docx,docx/sample-0038-project-management-arabic.docx,project-management,arabic,200,psithurism,التماثل,wathiqrare0038,37453,9a9257a2627a2d8df5551eac700b2b43f4b51179cc4b483d56f7ed9ec85f285a
39,docx,docx/sample-0039-information-technology-mixed.docx,information-technology,mixed,200,ultracrepidarian,المضاهاة,wathiqrare0039,37559,822e6f7818daf080ddbdbf457b5e703f673b68edecc66ad5901572007d031890
40,docx,docx/sample-0040-procurement-english.docx,procurement,english,200,palimpsest,الاستيثاق,wathiqrare0040,37422,2080765b976342dd8eb354604a2a4196711ab45af7de7f8edd344e1e329cfc50
41,docx,docx/sample-0041-finance-arabic.docx,finance,arabic,200,quincunx,الاستعصاء,wathiqrare0041,37508,beb2b55d92887b5cb6cc4b754fc5e594ad2f7529c20ae276b8a03fd3bd48e985
42,docx,docx/sample-0042-human-resources-mixed.docx,human-resources,mixed,200,zeugma,التبويب,wathiqrare0042,37571,c74fccb74a90871bdd3a2c8111c7361de3e7c3b547951f1fa381204c7bb88a13
43,docx,docx/sample-0043-general-administration-english.docx,general-administration,english,200,syzygy,الاستدامة,wathiqrare0043,37415,e1810606ebe32eb544365602540245ebcf0583668f9396e0371998803eddba15
44,docx,docx/sample-0044-asset-management-arabic.docx,asset-management,arabic,200,susurrus,الاستدلال,wathiqrare0044,37437,d08e5b9c38465489d921bb122e4a73f56404d0b58158463bf98ce82c8f1ef5f0
45,docx,docx/sample-0045-records-management-mixed.docx,records-management,mixed,200,velleity,الاستقراء,wathiqrare0045,37569,3d0d644b3fe206fcaad1c19958b491f565290dce013047399e91394f87d866c7
46,docx,docx/sample-0046-project-management-english.docx,project-management,english,200,anfractuous,الاستدراك,wathiqrare0046,37420,7589af61565bc26cf7ee56f8b826e029650dba515190da97d82f2bfbea9c80fc
47,docx,docx/sample-0047-information-technology-arabic.docx,information-technology,arabic,200,crepuscular,التغاير,wathiqrare0047,37481,7bf1d6ff91bc61926912afcce9f3a8506a3e9f0a4334ae91b89ffd73786d2532
48,docx,docx/sample-0048-procurement-mixed.docx,procurement,mixed,200,psithurism,التماثل,wathiqrare0048,37487,84bd06ef1b0b44bf177e78d2d7c2792367b9008796b15676e581137487c57dda
49,docx,docx/sample-0049-finance-english.docx,finance,english,200,ultracrepidarian,المضاهاة,wathiqrare0049,37475,b62646087d27a9934b1e6046618ddc023c6357bb8cfd5ba6a723dc6ab9fdb028
50,docx,docx/sample-0050-human-resources-arabic.docx,human-resources,arabic,200,palimpsest,الاستيثاق,wathiqrare0050,37482,57715f9b6fca31ab3d8af6bdc457dc4efa033d22c43062c0075b899815398e8c
51,docx,docx/sample-0051-general-administration-mixed.docx,general-administration,mixed,200,quincunx,الاستعصاء,wathiqrare0051,37499,f04c805f81ab8775ea11764d5b587e8406b541531fc5042162ed5b2265bac94a
52,docx,docx/sample-0052-asset-management-english.docx,asset-management,english,200,zeugma,التبويب,wathiqrare0052,37404,2fbc2af6763f2bfe20c17f04f4a857d18b4f3789251050a05677763729875505
53,docx,docx/sample-0053-records-management-arabic.docx,records-management,arabic,200,syzygy,الاستدامة,wathiqrare0053,37499,81d3b364d0450706bfc11aa3ebf825538f3d83e58e75ca44a65451e2b20a859d
54,docx,docx/sample-0054-project-management-mixed.docx,project-management,mixed,200,susurrus,الاستدلال,wathiqrare0054,37527,32a1a67c1c0508f0832b5f9c7e57d0233077d763bb3bd7b3f939631506357ecf
55,docx,docx/sample-0055-information-technology-english.docx,information-technology,english,200,velleity,الاستقراء,wathiqrare0055,37447,fae2dbc8da0f7eb3158f893e69dccbbe6db430847dc91672a9345910b8e6c079
56,docx,docx/sample-0056-procurement-arabic.docx,procurement,arabic,200,anfractuous,الاستدراك,wathiqrare0056,37444,1a1cf7a0adbf630fbbb14f8ba6dec82c5b4fbf074233b870d682c22065999657
57,docx,docx/sample-0057-finance-mixed.docx,finance,mixed,200,crepuscular,التغاير,wathiqrare0057,37584,0915bec1307b898234807259b9e65e6a5a390773dbd1c51f0cc34d3fc0348529
58,docx,docx/sample-0058-human-resources-english.docx,human-resources,english,200,psithurism,التماثل,wathiqrare0058,37482,3382585a80820b083e42d91d16300dd85163f2383b8b7949685938da4c9eee4c
59,docx,docx/sample-0059-general-administration-arabic.docx,general-administration,arabic,200,ultracrepidarian,المضاهاة,wathiqrare0059,37452,e85474d350a54a8a32f87c3708d50a601e83ed3ff304f2f16caa702ff57d5843
60,docx,docx/sample-0060-asset-management-mixed.docx,asset-management,mixed,200,palimpsest,الاستيثاق,wathiqrare0060,37505,69f8da6f04f625379b502a6c8655c738444ef0d08c5aef6beaf233c43c3f556b
61,docx,docx/sample-0061-records-management-english.docx,records-management,english,200,quincunx,الاستعصاء,wathiqrare0061,37461,792070e5f5ee9150a55f90c9929b798b5c0852a00b6f6a4716aaab43bcb03af9
62,docx,docx/sample-0062-project-management-arabic.docx,project-management,arabic,200,zeugma,التبويب,wathiqrare0062,37457,a795477df9fde1b4eaec622959febabebd2462efd48b2033bbfb92165cb4d3e1
63,docx,docx/sample-0063-information-technology-mixed.docx,information-technology,mixed,200,syzygy,الاستدامة,wathiqrare0063,37556,f64f759fb4112482322f7abdd3badf65bbb47494d6ec56f5ad52c462f9b1ef57
64,docx,docx/sample-0064-procurement-english.docx,procurement,english,200,susurrus,الاستدلال,wathiqrare0064,37414,4803f045861f2a9131a9ed623a88ee8c77b0fc7b690d257b4c7636d26a14da60
65,docx,docx/sample-0065-finance-arabic.docx,finance,arabic,200,velleity,الاستقراء,wathiqrare0065,37501,ac70cff44cc60d027c2f6847440d10b6e643e1673a2b17c7f71e34aecd96a7f5
66,docx,docx/sample-0066-human-resources-mixed.docx,human-resources,mixed,200,anfractuous,الاستدراك,wathiqrare0066,37572,8d86d3ada0d32d33ac8293e49af7e3d9038d57bbb50074098f2788cb58d58664
67,docx,docx/sample-0067-general-administration-english.docx,general-administration,english,200,crepuscular,التغاير,wathiqrare0067,37412,58eafe109955754f682050aa655ca55b9c9a5de13ed4af1a6173c2e935b84f0c
68,docx,docx/sample-0068-asset-management-arabic.docx,asset-management,arabic,200,psithurism,التماثل,wathiqrare0068,37435,65dfaf3e9702a242f711270f0572e71300e054e1312409e8f27a5c20c10b8d25
69,docx,docx/sample-0069-records-management-mixed.docx,records-management,mixed,200,ultracrepidarian,المضاهاة,wathiqrare0069,37566,8fbeca2484922e247dc9124a653277be1890fb20b7678b2745b54917670cd53a
70,docx,docx/sample-0070-project-management-english.docx,project-management,english,200,palimpsest,الاستيثاق,wathiqrare0070,37417,900522ae917b45a565c057fe129c972ef79cb41b5e83a982247bb6c9e2cc3d0f
71,docx,docx/sample-0071-information-technology-arabic.docx,information-technology,arabic,200,quincunx,الاستعصاء,wathiqrare0071,37488,658173833e06bfb7c58dd06a9a6e06f48de7baf8f29343a166ae30c6f9529daf
72,docx,docx/sample-0072-procurement-mixed.docx,procurement,mixed,200,zeugma,التبويب,wathiqrare0072,37482,77125a8bc55e1262209236fe63521b1e9dadf9a5508fb3323115a7c1aea26fee
73,docx,docx/sample-0073-finance-english.docx,finance,english,200,syzygy,الاستدامة,wathiqrare0073,37469,9fa9a1518269f4c75db225a94fa72252bdbad5b3c548c3125e5bf91c905d78d0
74,docx,docx/sample-0074-human-resources-arabic.docx,human-resources,arabic,200,susurrus,الاستدلال,wathiqrare0074,37484,32a952f7d80b5d5167c75ee905502cf520207a0ef5cd806983c967ea85f449b1
75,docx,docx/sample-0075-general-administration-mixed.docx,general-administration,mixed,200,velleity,الاستقراء,wathiqrare0075,37499,682f996c45f8b2beb195b5249d817624d883a84764f396ab08ff40a64faddb26
